6633118	6599351	6633473	NM_001193455	-
6633118	6599351	6633473	NR_037947	-
6633118	6599351	6633473	NM_017755	-
6633118	6599351	6633473	NM_001193455	-
6633118	6599351	6633473	NR_037947	-
6633118	6599351	6633473	NM_017755	-
128003136	127997126	128003666	NM_005347	-
128003136	127997126	128003666	NM_005347	-
73662831	73622924	73663269	NM_004259	-
73662831	73645793	73663269	NM_001003716	-
73662831	73645793	73663269	NM_001003715	-
73662831	73622924	73663269	NM_004259	-
73662831	73645793	73663269	NM_001003716	-
73662831	73645793	73663269	NM_001003715	-
26271175	26271145	26271612	NM_003534	-
26271175	26271145	26271612	NM_003534	-
20811242	20811229	20811570	NR_002312	-
20811242	20811229	20811570	NR_002312	-
