chr9	93695307	93696328	lnc-SYK-1:1	0.0	+	93695308	93696328	0,0,0	3	14,104,86,	0,144,935,
chr10	127703095	127703161	lnc-FANK1-1:1	0.0	+	127703096	127703161	0,0,0	1	66,	0,
chr18	68003293	68004545	lnc-RTTN-1:1	0.0	-	68003294	68004545	0,0,0	2	158,96,	0,1156,
chr4	149614150	149621313	lnc-ARHGAP10-1:1	0.0	+	149614151	149621313	0,0,0	2	259,38,	0,7125,
chr12	126580489	126583469	lnc-TMEM132B-3:2	0.0	+	126580490	126583469	0,0,0	2	157,74,	0,2906,
chr4	178864016	178882065	lnc-NEIL3-3:1	0.0	+	178864017	178882065	0,0,0	2	125,150,	0,17899,
chr12	18906532	18926324	lnc-CAPZA3-1:1	0.0	+	18906533	18926324	0,0,0	2	172,43,	0,19749,
chr7	80302	80886	lnc-FAM20C-5:2	0.0	+	80303	80886	0,0,0	2	136,109,	0,475,
chr8	102300021	102305710	lnc-GRHL2-2:2	0.0	+	102300022	102305710	0,0,0	2	16,238,	0,5451,
chr14	46213324	46241659	lnc-FANCM-4:2	0.0	+	46213325	46241659	0,0,0	4	46,52,86,47,	0,4484,28014,28288,
chr1	225636127	225649287	lnc-LBR-1:1	0.0	-	225636128	225649287	0,0,0	2	160,45,	0,13115,
chr2	121060713	121085650	lnc-RALB-2:1	0.0	+	121060714	121085650	0,0,0	2	27,225,	0,24712,
chr1	185534766	185597648	lnc-IVNS1ABP-1:4	0.0	-	185534767	185597648	0,0,0	3	62,64,110,	0,60857,62772,
chr20	29559467	29565969	lnc-DEFB116-1:1	0.0	-	29559468	29565969	0,0,0	2	35,186,	0,6316,
chr19	14898315	14902721	lnc-ZNF333-3:1	0.0	+	14898316	14902721	0,0,0	2	21,238,	0,4168,
chr16	27280348	27296191	lnc-IL4R-2:4	0.0	+	27280349	27296191	0,0,0	3	129,100,28,	0,12508,15815,
chr20	54206129	54242676	lnc-CBLN4-3:2	0.0	-	54206130	54242676	0,0,0	2	129,117,	0,36430,
chr2	42300322	42301745	lnc-PKDCC-1:1	0.0	+	42300323	42301745	0,0,0	2	93,176,	0,1247,
chr9	1633517	1929562	lnc-SMARCA2-2:1	0.0	+	1633518	1929562	0,0,0	3	28,46,154,	0,85349,295891,
chr1	103142327	103145365	lnc-RNPC3-3:1	0.0	+	103142328	103145365	0,0,0	3	76,108,26,	0,712,3012,
chr3	148658604	148673471	lnc-GYG1-1:1	0.0	+	148658605	148673471	0,0,0	2	116,103,	0,14764,
chrY	7673535	7682692	lnc-TBL1Y-3:1	0.0	+	7673536	7682692	0,0,0	2	131,73,	0,9084,
chr16	87157904	87158268	lnc-C16orf95-4:1	0.0	-	87157905	87158268	0,0,0	2	225,25,	0,339,
chr20	22497477	22501253	lnc-FOXA2-3:2	0.0	-	22497478	22501253	0,0,0	2	168,192,	0,3584,
chr4	78075945	78077856	lnc-CCNI-1:2	0.0	-	78075946	78077856	0,0,0	2	184,25,	0,1886,
chr12	108306496	108307830	lnc-ASCL4-2:1	0.0	+	108306497	108307830	0,0,0	2	79,167,	0,1167,
chr16	468210	471156	lnc-TMEM8A-1:1	0.0	-	468211	471156	0,0,0	2	53,184,	0,2762,
chr16	24258413	24259194	lnc-CACNG3-2:1	0.0	+	24258414	24259194	0,0,0	2	173,42,	0,739,
chr19	21747056	21748673	lnc-ZNF100-3:1	0.0	-	21747057	21748673	0,0,0	2	227,43,	0,1574,
chr12	40807836	40834900	lnc-SLC2A13-3:2	0.0	-	40807837	40834900	0,0,0	4	85,138,92,28,	0,2266,6185,27036,
chr1	59180599	59181440	lnc-FGGY-6:1	0.0	+	59180600	59181440	0,0,0	2	22,275,	0,566,
chr3	50300425	50304841	lnc-GNAI2-1:5	0.0	+	50300426	50304841	0,0,0	2	70,137,	0,4279,
chr11	21804224	21839757	lnc-NELL1-1:2	0.0	+	21804225	21839757	0,0,0	3	48,128,52,	0,12098,35481,
chr15	65100371	65100715	lnc-AC069368.3.1-1:1	0.0	+	65100372	65100715	0,0,0	2	123,117,	0,227,
chr2	227150454	227198292	lnc-IRS1-1:1	0.0	-	227150455	227198292	0,0,0	2	140,98,	0,47740,
chr2	220658076	220659218	lnc-SLC4A3-3:1	0.0	+	220658077	220659218	0,0,0	3	63,100,80,	0,716,1062,
chr15	60544652	60589787	lnc-FOXB1-1:1	0.0	+	60544653	60589787	0,0,0	3	127,51,40,	0,1426,45095,
chr21	40452683	40454027	lnc-PSMG1-1:1	0.0	-	40452684	40454027	0,0,0	2	182,48,	0,1296,
chr4	183994497	183998502	lnc-C4orf38-1:1	0.0	-	183994498	183998502	0,0,0	2	119,114,	0,3891,
chr14	83108882	83117334	lnc-TSHR-5:1	0.0	+	83108883	83117334	0,0,0	2	136,67,	0,8385,
chr16	71360090	71362646	lnc-CALB2-1:2	0.0	+	71360091	71362646	0,0,0	2	42,175,	0,2381,
chr1	73020892	73023568	lnc-FPGT-5:1	0.0	+	73020893	73023568	0,0,0	2	189,25,	0,2651,
chr6	137770531	137772240	lnc-TNFAIP3-4:2	0.0	+	137770532	137772240	0,0,0	2	87,207,	0,1502,
chr2	43028633	43037770	lnc-HAAO-1:2	0.0	-	43028634	43037770	0,0,0	2	205,10,	0,9127,
chr17	31271843	31276797	lnc-TMEM98-1:2	0.0	+	31271844	31276797	0,0,0	2	180,22,	0,4932,
chr14	59546411	59590964	lnc-DAAM1-2:1	0.0	+	59546412	59590964	0,0,0	3	83,86,123,	0,14861,44430,
chr16	52039390	52060347	lnc-RP11-152O14.2.1-2:2	0.0	-	52039391	52060347	0,0,0	2	153,51,	0,20906,
chr14	99439946	99471072	lnc-RP11-1127D7.1.1-1:1	0.0	-	99439947	99471072	0,0,0	2	183,23,	0,31103,
chr1	89938508	89939606	lnc-GBP5-1:1	0.0	-	89938509	89939606	0,0,0	2	168,45,	0,1053,
chr21	14437893	14439296	lnc-POTED-4:1	0.0	+	14437894	14439296	0,0,0	2	127,124,	0,1279,
chr14	38073402	38075919	lnc-MIPOL1-2:1	0.0	+	38073403	38075919	0,0,0	2	157,52,	0,2465,
chr7	48120411	48122554	lnc-SUN3-1:1	0.0	-	48120412	48122554	0,0,0	2	181,77,	0,2066,
chr6	38622224	38631831	lnc-DNAH8-2:2	0.0	+	38622225	38631831	0,0,0	2	219,22,	0,9585,
chr12	132642561	132642945	lnc-DDX51-1:1	0.0	-	132642562	132642945	0,0,0	2	181,28,	0,356,
chr2	113576773	113581878	lnc-IL1B-1:1	0.0	-	113576774	113581878	0,0,0	2	244,41,	0,5064,
